Date,600039.SH,600053.SH,600056.SH,600131.SH,600167.SH,600180.SH,600185.SH,600197.SH,600233.SH,600236.SH,600260.SH,600273.SH,600282.SH,600299.SH,600312.SH,600323.SH,600329.SH,600338.SH,600409.SH,600422.SH,600483.SH,600486.SH,600502.SH,600507.SH,600511.SH,600556.SH,600557.SH,600563.SH,600566.SH,600567.SH,600580.SH,600587.SH,600612.SH,600641.SH,600673.SH,600675.SH,600681.SH,600742.SH,600755.SH,600764.SH,600782.SH,600802.SH,600803.SH,600828.SH,600835.SH,600846.SH,600850.SH,600985.SH,600987.SH,601000.SH,601003.SH,601139.SH
2012/5/25,2.364418052,6.63757232,9.670578413,5.654113769,3.98131061,9.055535081,2.004854837,12.08732333,5.468471206,2.206260925,8.060971685,5.885755316,2.318191227,5.871366131,7.252577483,6.38581299,9.234514677,4.138170757,3.612824593,7.558660893,5.042981315,9.094999804,4.09176568,1.715395724,12.40644897,3.146952212,8.50675382,12.91615981,7.77037281,2.061562388,5.357769346,10.52112134,17.64972581,3.826121028,3.039551514,3.118608034,2.261216358,5.193625766,4.243114515,6.37675075,2.107926265,6.793187948,9.362282562,4.778007985,7.645470877,4.628875412,20.13493067,6.419274473,2.300631567,1.27278065,2.718543069,5.296725224
2012/5/28,2.480408371,6.967097186,9.530741762,5.730779718,3.963521018,9.055535081,2.032916568,12.49135643,5.657197906,2.25978208,8.318978564,5.773233524,2.384901766,5.898974435,7.235288859,6.560138344,9.361014878,4.076712775,3.635125979,7.549559556,5.076713632,9.0592151,4.373147847,1.750483364,12.05041401,3.146952212,8.192184639,13.03031779,7.854105275,2.061562388,5.385481946,10.44815934,17.88777606,3.876370272,3.121001128,3.206633261,2.267445604,5.486007661,4.416302863,6.317706761,2.143503079,7.299063647,9.456937993,4.887667184,7.761436849,4.761889073,20.18462901,6.569987874,2.340674205,1.295039135,2.78688633,5.340608614
2012/5/29,2.480408371,6.891777217,9.683688099,5.836195399,4.194785709,9.055535081,2.05474236,12.49977378,5.671007176,2.265728875,8.318978564,5.825166659,2.393240583,6.000204886,7.339020599,6.624363475,9.370050607,4.199628738,3.741057564,7.654224939,5.127312106,9.360848108,4.379009975,1.750483364,12.16909233,3.146952212,8.071711335,13.30755859,7.678267097,2.089932513,5.487094813,10.86161071,17.97619473,3.998404151,3.217259763,3.219208293,2.317279573,5.475748647,4.447791653,6.396432079,2.147950181,7.122408641,9.629038775,4.981660784,7.960235658,4.797359382,20.20592831,6.709537319,2.380716843,1.295039135,2.771698939,5.388880344
2012/5/30,2.49379187,6.920022205,9.561331029,6.420773263,4.098721914,9.150456832,2.067214241,12.54186056,5.532914469,2.253835285,8.298059088,5.877099794,2.376562948,6.009407654,7.269866106,6.72528868,9.370050607,4.185971409,3.718756178,7.68607962,5.110445948,9.273936902,4.34090614,1.75438199,12.16909233,3.146952212,8.085097258,13.38094587,7.435442947,2.137216054,5.45014468,10.92970858,17.80615883,3.97686876,3.298709377,3.25693339,2.335967312,5.509090442,4.447791653,6.406272744,2.139055977,7.130438414,9.465543032,4.926831184,7.935385807,4.80622696,19.98583562,7.033292032,2.391637563,1.288968639,2.771698939,5.318666919
2012/5/31,2.480408371,6.83528724,9.591920297,6.382440288,4.123627343,8.694832425,2.029798598,12.75229446,5.477677386,2.253835285,8.570012285,5.833822181,2.334868861,6.009407654,7.174778678,6.679413587,9.776658396,4.206457403,3.718756178,7.795295672,5.076713632,9.616469302,4.255905277,1.734888857,12.41557807,3.146952212,8.131947987,13.56849111,7.401949961,2.108845929,5.47785728,11.22642074,18.17343637,3.905084126,3.420883799,3.263220907,2.329738066,5.606551073,4.439919456,6.475157397,2.12126757,7.130438414,9.422517836,4.840670384,7.819419835,4.850564847,20.37632264,6.91048852,2.409838762,1.276827647,2.718543069,5.388880344
2012/6/1,2.467024873,6.83528724,9.552591238,6.286607852,4.201901546,8.561941973,2.023562658,12.99639779,5.427043393,2.253835285,8.507253855,5.773233524,2.326530044,6.064624263,7.088335561,6.624363475,9.839908497,4.220114732,3.735482218,7.740687646,4.983949761,9.519333248,4.273491663,1.727091604,12.78074213,3.146952212,8.466596052,13.446179,7.251231523,2.089932513,5.413194546,11.35288822,18.21424498,3.869191808,3.369052226,3.244358358,2.360884296,5.621939594,4.337580887,6.455476068,2.116820468,6.897574997,9.37949264,4.817171984,7.835986402,4.726418763,20.31952453,6.966308298,2.402558282,1.284921642,2.695761982,5.419598717
2012/6/4,2.337651055,6.543422358,9.19425982,6.344107314,4.383355381,8.210731493,1.942495433,12.46610436,5.137048708,2.21220772,7.998213255,5.45297919,2.259819505,5.760932912,6.906805016,6.45003812,9.984480155,4.028912123,3.623975286,7.613268919,4.697225071,9.12567661,4.047799716,1.688105337,12.68945111,3.146952212,8.566990472,12.92431395,7.000034126,2.014278847,5.126831012,11.35288822,18.20064211,3.704087149,3.369052226,3.04315784,2.279904096,5.539867483,4.038437377,6.081530808,2.081243654,6.576384078,8.975055802,4.629184785,7.529504904,4.416053554,19.85803987,6.849086764,2.301199892,1.252545663,2.589450241,5.292336885
2012/6/5,2.37780155,6.496347377,9.543851448,6.401606776,4.077374404,8.239208019,1.930023552,12.31459195,5.146254889,2.27167567,8.047025367,5.470290235,2.268158323,5.788541217,6.751207406,6.477563176,10.12001608,4.17231408,3.618399939,7.913613061,4.739390467,8.956966622,4.012370706,1.668612204,13.16416439,3.146952212,9.202821796,12.85908082,6.949794646,2.014278847,5.117593479,11.8684864,17.96259186,3.639480978,3.235771039,3.024295291,2.292362589,5.495859657,4.030565179,6.081530808,2.07234945,6.568354305,8.966450763,4.637017585,7.488088486,4.433788708,19.81544129,6.865832698,2.293691899,1.250522165,2.589450241,5.371326988
2012/6/6,2.346573387,6.56225235,9.421494378,6.181192171,3.949289345,8.096825392,1.989264986,12.10415805,4.989749821,2.319250029,7.747179535,5.392390533,2.259819505,5.77013568,6.742563095,6.505088232,10.13808754,4.158656751,3.635125979,7.849903697,4.714091229,8.962079046,4.018275593,1.649119071,12.98158236,3.146952212,9.216207719,12.84277254,6.857688934,2.014278847,5.015980612,11.66905691,18.45229523,3.617945587,3.254282315,2.999145226,2.292362589,5.43631902,4.077798365,5.992964825,2.045666839,6.560324532,8.751324785,4.605686385,7.438388784,4.398318399,19.80834152,6.854668742,2.289937902,1.246475167,2.589450241,5.344996953
2012/6/7,2.301961726,6.524592365,9.605029983,6.085359735,3.892362651,8.030380166,1.995500926,12.0368192,5.118636347,2.307356439,7.71231374,5.305835307,2.24314187,5.760932912,6.673408601,6.477563176,10.30073066,4.220114732,3.629550633,7.786194334,4.655059676,8.844493297,3.985798715,1.649119071,12.77161303,3.146952212,9.283137332,12.76123113,6.815822701,1.995365431,4.979030478,11.45017089,18.56791964,3.625124051,3.220962018,3.018007775,2.311050327,5.366423489,4.085670563,6.101212137,2.041219737,6.552294759,8.79434998,4.668348785,7.405255649,4.371715666,19.72314435,6.888160609,2.289937902,1.248498666,2.566669154,5.384492005
